X,Y,Permafrost,elev,aspect,slope,temp,TDD,FDD,NDSI,NDVI,litho
2625469.0304381,1117354.26920543,1,2670.1904296875,65.7581939697266,24.0047626495361,-2.52500009536743,1463.86218261719,1795.59533691406,0.609039902687073,-0.0924070179462433,1
2625733.86785401,1117413.34140756,1,2593.32885742188,15.8991775512695,20.6803894042969,-2.27500009536743,1494.89038085938,1725.21337890625,0.560491859912872,-0.089633546769619,3
2626020.91944704,1117473.96553516,0,2506.404296875,40.758617401123,32.8610343933105,-1.97499990463257,1539.0576171875,1637.33520507812,0.418620616197586,-0.0760354697704315,3
2625860.22898784,1117427.21921987,1,2582.3125,25.1669769287109,14.3094711303711,-2.15000009536743,1506.90075683594,1689.85986328125,0.560270667076111,-0.0852935388684273,3
2625302.19484758,1117543.35459741,1,2648.57861328125,348.264068603516,18.3215713500977,-2.74000000953674,1467.78088378906,1845.40197753906,0.612456440925598,-0.0569650493562222,1
2625106.90131153,1118594.56227371,1,2829.34838867188,64.6029968261719,11.8868837356567,-3.44000005722046,1545.58251953125,1862.81567382812,0.65772020816803,-0.0440184995532036,3
2625358.43650784,1118465.13350362,1,2761.03662109375,4.03961181640625,5.02667331695557,-3.47874999046326,1539.89123535156,1840.65942382812,0.537033081054688,-0.0144064612686634,1
2625386.92254373,1118582.72970321,0,2773.72119140625,178.840423583984,5.59481620788574,-3.43437504768372,1542.21447753906,1837.76281738281,0.476760357618332,0.0211301874369383,1
2625664.47879164,1118270.11371903,1,2670.5712890625,185.026885986328,27.973445892334,-3.09999990463257,1540.36010742188,1756.29443359375,0.32957062125206,0.0348517894744873,1
2625442.95308895,1118369.77970477,0,2706.51245117188,120.976066589355,23.0131759643555,-3.38124990463257,1537.67321777344,1815.12487792969,0.434598475694656,0.0128351235762239,1
2625739.71114289,1118487.04583876,1,2744.01782226562,185.3046875,25.890308380127,-3.22499990463257,1537.36486816406,1752.58129882812,0.288271218538284,0.0275669191032648,3
2625346.01951788,1118334.38990283,1,2749.31567382812,92.8266143798828,27.7163372039795,-3.3512499332428,1535.66320800781,1837.26037597656,0.51780241727829,-0.0123954089358449,1
2625621.0193266,1118127.31833381,0,2637.14379882812,54.6591377258301,28.2667999267578,-3,1540.34289550781,1759.95751953125,0.470498085021973,0.014443919993937,1
2625499.77107098,1118183.19478897,1,2668.73120117188,77.0116348266602,21.0910205841064,-3.17078113555908,1536.09533691406,1795.1484375,0.561517834663391,-0.024200726300478,1
2626212.65238108,1117974.66239738,0,2522.66723632812,105.264511108398,10.0717687606812,-2.25,1615.82202148438,1577.60717773438,0.377288728952408,0.100532613694668,1
2626612.91770675,1118027.25200196,0,2462.21875,159.240798950195,23.9585151672363,-1.83437502384186,1718.17614746094,1444.30346679688,0.242243975400925,0.0816502571105957,3
2626658.93361075,1118474.99405386,0,2671.92431640625,45.8513031005859,6.12793159484863,-2.17875003814697,1678.41979980469,1486.80993652344,0.453103750944138,0.0449342131614685,3
2626628.98675302,1117350.16084023,1,2489.94360351562,354.596954345703,26.0563106536865,-1.34687495231628,1698.568359375,1434.25061035156,0.338936418294907,-0.0474155023694038,3
2627012.99263564,1117398.02890447,1,2461.73217773438,12.479621887207,27.5884819030762,-0.896250009536743,1899.56335449219,1253.28039550781,0.332690626382828,-0.0579381324350834,3
2624723.70919504,1116274.99558764,1,2708.21508789062,121.528999328613,11.8924779891968,-3.04999995231628,1540.27758789062,1710.31457519531,0.497507780790329,0.00232724589295685,3
2624670.38917895,1116417.42576732,1,2746.67163085938,99.2129211425781,13.4917278289795,-3.25,1508.99426269531,1746.71923828125,0.696212947368622,-0.0362808108329773,3
2625086.72355083,1115917.09411039,0,2612.02075195312,160.334808349609,14.1246328353882,-2.34999990463257,1622.51599121094,1609.34912109375,0.398298323154449,0.0337883718311787,1
2626061.39674872,1115388.50180126,1,2458.80249023438,337.20458984375,27.3993625640869,-1.03999996185303,1615.49670410156,1604.78247070312,0.142207339406013,-0.059733871370554,3
2625067.00244925,1115451.09177902,1,2494.5595703125,46.5910453796387,22.2075271606445,-2.00375008583069,1537.72912597656,1696.88500976562,0.342534124851227,-0.037805188447237,3
2624677.39994923,1115032.21429598,1,2633.03540039062,356.095336914062,13.3477172851562,-2.88312482833862,1359.63256835938,1896.53735351562,0.518735945224762,-0.0527130924165249,3
2625335.14967913,1114490.02501618,1,2778.07958984375,267.257202148438,17.9297161102295,-3.48453140258789,1430.9111328125,1725.19885253906,0.393109798431396,-0.0534765273332596,3
2624553.11795636,1114558.34377297,1,2773.33959960938,25.5448760986328,19.1728038787842,-3.44749999046326,1192.37609863281,2005.25402832031,0.849147379398346,-0.090665765106678,3
2624464.44893198,1114649.9199784,1,2748.70532226562,82.7689056396484,27.1395606994629,-3.35374999046326,1218.59301757812,2002.46618652344,0.784523069858551,-0.0809488296508789,3
2624647.91931503,1116203.7628639,1,2713.173828125,84.0360565185547,16.8824329376221,-3.04999995231628,1535.13195800781,1716.61743164062,0.547357678413391,-0.0204576104879379,3
2624491.70891231,1117624.81730189,0,2798.97216796875,102.468597412109,23.2147350311279,-3.48828125,1486.10717773438,1862.28063964844,0.497223109006882,-0.0400711223483086,1
2624407.09157749,1117577.61579546,0,2840.8701171875,110.537178039551,30.0269985198975,-3.40000009536743,1498.41943359375,1871.61499023438,0.47273650765419,-0.018664576113224,1
2620648.32517959,1111999.54353121,1,2727.30346679688,327.637237548828,17.4450263977051,-2.22499990463257,1529.17004394531,1967.74401855469,0.772834718227386,-0.073756068944931,2
